"col.name" "col.class" "unique" "required" "multiplevalues" "description" "allowedvalues" "static.enum" "dynamic.enum" "dynamic.enum.property" "delimiter" "separator" "corpus.type"
"STATUS" "character" "non-unique" "optional" FALSE "Status value for timeline STATUS events (e.g. best response, stage progression)." ".+" NA NA NA NA NA "any"
"STOP_DATE" "integer" "non-unique" "optional" FALSE "End date of event in days from diagnosis. Blank for point-in-time events." "[0-9]+" NA NA NA NA NA "integer"
"STYLE_COLOR" "character" "non-unique" "optional" FALSE "Hexadecimal color value for rendering this event (e.g. #ffffff)." "#[0-9a-fA-F]{6}" NA NA NA NA NA "regexp"
"STYLE_SHAPE" "character" "non-unique" "optional" FALSE "Shape for rendering this event in timeline." "circle|square|triangle|diamond|star|camera" NA NA NA NA NA "static_enum"
"SUBTYPE" "character" "non-unique" "optional" FALSE "Treatment subtype. Medical: Chemotherapy, Hormone Therapy, Targeted Therapy, etc. Radiation: WPRT, IVRT, etc." ".+" NA NA NA NA NA "any"
"TEST" "character" "non-unique" "optional" FALSE "Type of test performed (timeline LAB_TEST event)." ".+" NA NA NA NA NA "any"
"TL_PATIENT_ID" "character" "non-unique" "required" FALSE "Patient ID from the dataset (timeline context)." ".+" NA NA NA NA NA "any"
"TL_RESULT" "character" "non-unique" "optional" FALSE "Result value for lab test or imaging." ".+" NA NA NA NA NA "any"
"TL_SAMPLE_ID" "character" "non-unique" "optional" FALSE "Links timeline event to a sample." ".+" NA NA NA NA NA "any"
"TL_SOURCE" "character" "non-unique" "optional" FALSE "Source/location where event was performed." ".+" NA NA NA NA NA "any"
"TREATMENT_TYPE" "character" "non-unique" "optional" FALSE "Treatment type (timeline TREATMENT event)." "Medical Therapy|Radiation Therapy" NA NA NA NA NA "static_enum"
